concurrency,durationSeconds,totalRequests,rps,p50_ms,p90_ms,p95_ms,p99_ms,errorRatePercent
1,5.0,2262,452.3,2.03,2.81,3.12,4.28,0
10,5.0,9763,1950.6,4.66,6.67,7.94,13.07,0
50,5.0,12262,2445.1,19.26,26.11,29.15,35.72,0.02
100,5.0,13420,2663.2,35.37,46.75,52.9,64.39,1.36
