concurrency,durationSeconds,totalRequests,rps,p50_ms,p90_ms,p95_ms,p99_ms,errorRatePercent
1,5.0,2139,427.7,2.03,3.38,3.81,4.66,0
10,5.0,9339,1866.7,4.9,7.2,8,10.64,0
50,5.0,11648,2321.7,20.37,27.22,30.3,39.9,0
100,5.0,12117,2403.7,39.12,53.17,56.45,78.75,0
250,5.1,10123,1986.5,112.71,169.82,214.77,365.4,0
500,8.6,1209,140.7,481.61,492.38,493.3,494.74,84.12
1000,7.8,9651,1230.7,0,0,0,0,100
