concurrency,durationSeconds,totalRequests,rps,p50_ms,p90_ms,p95_ms,p99_ms,errorRatePercent
1,10.0,5252,525.1,1.76,2.4,2.76,3.58,0
10,10.0,21944,2193.7,4.24,5.74,6.6,9.33,0
50,10.0,26223,2618.1,18.53,23.54,25.7,30.52,0
100,10.0,26712,2661.4,35.98,46.38,50.91,64.46,0
250,10.1,25887,2565.9,89.91,111.68,121.31,202.93,0
500,10.1,21495,2138.2,141.04,475.83,567.88,758.31,94.95
1000,10.9,11585,1060.3,0,0,0,0,100
